Trace1				Trace2			
Freq		Amp		Freq		Amp	
21929304	Hz	-85.59	 dBm	21929304	Hz	-84.87	 dBm
21929637	Hz	-85.77	 dBm	21929637	Hz	-84.76	 dBm
21929970	Hz	-85.72	 dBm	21929970	Hz	-84.93	 dBm
21930303	Hz	-85.5	 dBm	21930303	Hz	-85.31	 dBm
21930636	Hz	-85.15	 dBm	21930636	Hz	-85.73	 dBm
21930969	Hz	-84.92	 dBm	21930969	Hz	-85.94	 dBm
21931302	Hz	-84.87	 dBm	21931302	Hz	-86.12	 dBm
21931635	Hz	-84.97	 dBm	21931635	Hz	-86.13	 dBm
21931968	Hz	-85.17	 dBm	21931968	Hz	-86.16	 dBm
21932301	Hz	-85.25	 dBm	21932301	Hz	-86.24	 dBm
21932634	Hz	-85.19	 dBm	21932634	Hz	-86.07	 dBm
21932967	Hz	-85.45	 dBm	21932967	Hz	-85.97	 dBm
21933300	Hz	-85.57	 dBm	21933300	Hz	-85.92	 dBm
21933633	Hz	-85.33	 dBm	21933633	Hz	-85.78	 dBm
21933966	Hz	-84.92	 dBm	21933966	Hz	-85.08	 dBm
21934299	Hz	-84.97	 dBm	21934299	Hz	-84.74	 dBm
21934632	Hz	-85.16	 dBm	21934632	Hz	-85.01	 dBm
21934965	Hz	-85.12	 dBm	21934965	Hz	-85.05	 dBm
21935298	Hz	-84.93	 dBm	21935298	Hz	-84.93	 dBm
21935631	Hz	-84.77	 dBm	21935631	Hz	-84.92	 dBm
21935964	Hz	-84.77	 dBm	21935964	Hz	-85.01	 dBm
21936297	Hz	-84.56	 dBm	21936297	Hz	-85.15	 dBm
21936630	Hz	-84.24	 dBm	21936630	Hz	-85.27	 dBm
21936963	Hz	-84.1	 dBm	21936963	Hz	-85.22	 dBm
21937296	Hz	-84.6	 dBm	21937296	Hz	-84.91	 dBm
21937629	Hz	-85.25	 dBm	21937629	Hz	-84.94	 dBm
21937962	Hz	-85.29	 dBm	21937962	Hz	-85.66	 dBm
21938295	Hz	-85.24	 dBm	21938295	Hz	-86.14	 dBm
21938628	Hz	-85.26	 dBm	21938628	Hz	-85.85	 dBm
21938961	Hz	-85.33	 dBm	21938961	Hz	-85.59	 dBm
21939294	Hz	-85.53	 dBm	21939294	Hz	-85.73	 dBm
21939627	Hz	-85.39	 dBm	21939627	Hz	-85.61	 dBm
21939960	Hz	-84.88	 dBm	21939960	Hz	-85.24	 dBm
21940293	Hz	-84.55	 dBm	21940293	Hz	-85.03	 dBm
21940626	Hz	-84.69	 dBm	21940626	Hz	-84.95	 dBm
21940959	Hz	-85.35	 dBm	21940959	Hz	-84.95	 dBm
21941292	Hz	-85.91	 dBm	21941292	Hz	-85.09	 dBm
21941625	Hz	-86.07	 dBm	21941625	Hz	-85.3	 dBm
21941958	Hz	-86.09	 dBm	21941958	Hz	-85.7	 dBm
21942291	Hz	-85.92	 dBm	21942291	Hz	-85.88	 dBm
