Trace1				Trace2			
Freq		Amp		Freq		Amp	
23699952		-65.44	 	23699952		-65.03	 
23708285		-65.29	 	23708285		-65.24	 
23716618		-65.26	 	23716618		-65.7	 
23724951		-65.22	 	23724951		-65.38	 
23733284		-65.35	 	23733284		-65.49	 
23741617		-65.14	 	23741617		-65.32	 
23749950		-65.13	 	23749950		-64.97	 
23758283		-65.09	 	23758283		-65.31	 
23766616		-65.41	 	23766616		-65.46	 
23774949		-65.17	 	23774949		-65.28	 
23783282		-65.96	 	23783282		-65.24	 
23791615		-65.71	 	23791615		-65.29	 
23799948		-65.56	 	23799948		-65	 
23808281		-65.31	 	23808281		-65.42	 
23816614		-65.18	 	23816614		-64.89	 
23824947		-65.53	 	23824947		-65.05	 
23833280		-65.68	 	23833280		-65.31	 
23841613		-65.59	 	23841613		-65.55	 
23849946		-65.77	 	23849946		-65.11	 
23858279		-65.42	 	23858279		-65.02	 
23866612		-65.06	 	23866612		-65.01	 
23874945		-65.46	 	23874945		-65.28	 
23883278		-65.47	 	23883278		-65.12	 
23891611		-65.52	 	23891611		-65.21	 
23899944		-65.48	 	23899944		-65.55	 
23908277		-64.91	 	23908277		-65.29	 
23916610		-65.44	 	23916610		-65.12	 
23924943		-65.28	 	23924943		-65.44	 
23933276		-65.59	 	23933276		-65.22	 
23941609		-65.25	 	23941609		-65.49	 
23949942		-65.52	 	23949942		-65.04	 
23958275		-64.94	 	23958275		-65.19	 
23966608		-65.21	 	23966608		-65.23	 
23974941		-65.52	 	23974941		-65.55	 
23983274		-65.34	 	23983274		-65.23	 
23991607		-65.13	 	23991607		-65.23	 
23999940		-65.51	 	23999940		-65.32	 
24008273		-65.33	 	24008273		-65.32	 
24016606		-65.24	 	24016606		-65.41	 
24024939		-65.37	 	24024939		-65.19	 
24033272		-65.13	 	24033272		-65.21	 
24041605		-65.2	 	24041605		-65.7	 
24049938		-65.36	 	24049938		-64.98	 
24058271		-65.04	 	24058271		-65.04	 
24066604		-65.31	 	24066604		-65.22	 
24074937		-65.45	 	24074937		-65.61	 
24083270		-65.49	 	24083270		-65.39	 
24091603		-65.26	 	24091603		-65.22	 
24099936		-65.32	 	24099936		-65.26	 
24108269		-65.36	 	24108269		-65.68	 
24116602		-65.28	 	24116602		-65.22	 
24124935		-65.44	 	24124935		-65.44	 
24133268		-65.62	 	24133268		-65.25	 
24141601		-65.56	 	24141601		-65.36	 
24149934		-65.82	 	24149934		-65.8	 
24158267		-65.2	 	24158267		-65.61	 
24166600		-65.4	 	24166600		-65.43	 
24174933		-65.48	 	24174933		-64.71	 
24183266		-65.31	 	24183266		-65.32	 
24191599		-65.5	 	24191599		-65.36	 
24199932		-65.34	 	24199932		-65.41	 
24208265		-65.32	 	24208265		-65.51	 
24216598		-65.21	 	24216598		-65.76	 
24224931		-65.49	 	24224931		-65.56	 
24233264		-65.33	 	24233264		-65.66	 
24241597		-65.42	 	24241597		-65.54	 
24249930		-65.5	 	24249930		-65.53	 
24258263		-65.5	 	24258263		-65.12	 
24266596		-65.17	 	24266596		-65.78	 
24274929		-65.46	 	24274929		-66.17	 
24283262		-65.33	 	24283262		-65.5	 
24291595		-65.47	 	24291595		-64.9	 
24299928		-65.55	 	24299928		-65.24	 
24308261		-65.8	 	24308261		-65.18	 
24316594		-65.51	 	24316594		-65.99	 
24324927		-65.27	 	24324927		-65.67	 
24333260		-65.11	 	24333260		-65.11	 
24341593		-65.33	 	24341593		-65.71	 
24349926		-65.08	 	24349926		-65.27	 
24358259		-65.33	 	24358259		-65.46	 
24366592		-65.18	 	24366592		-65.32	 
24374925		-65.32	 	24374925		-65.24	 
24383258		-65.56	 	24383258		-65.32	 
24391591		-65.47	 	24391591		-65.68	 
24399924		-65.25	 	24399924		-65.9	 
24408257		-65.13	 	24408257		-65.64	 
24416590		-65.34	 	24416590		-65.72	 
24424923		-65.51	 	24424923		-65.82	 
24433256		-65.32	 	24433256		-65.38	 
24441589		-65.33	 	24441589		-64.71	 
24449922		-65.3	 	24449922		-65.46	 
24458255		-65.38	 	24458255		-65.84	 
24466588		-65.33	 	24466588		-65.51	 
24474921		-65.44	 	24474921		-65.22	 
24483254		-65.03	 	24483254		-65.91	 
24491587		-65.4	 	24491587		-65.53	 
24499920		-65.75	 	24499920		-65.39	 
24508253		-65.51	 	24508253		-65.23	 
24516586		-65.25	 	24516586		-65.66	 
24524919		-65.53	 	24524919		-65.28	 
24533252		-65.31	 	24533252		-65.06	 
24541585		-65.32	 	24541585		-65.19	 
24549918		-65.42	 	24549918		-65.35	 
24558251		-65.58	 	24558251		-65.71	 
24566584		-65.41	 	24566584		-65.95	 
24574917		-65.48	 	24574917		-65.52	 
24583250		-65.22	 	24583250		-65.77	 
24591583		-65.34	 	24591583		-65.68	 
24599916		-65.23	 	24599916		-65.8	 
24608249		-65.47	 	24608249		-65.44	 
24616582		-65.42	 	24616582		-65.04	 
24624915		-65.74	 	24624915		-65.51	 
24633248		-65.34	 	24633248		-65.28	 
24641581		-65.18	 	24641581		-65.1	 
24649914		-65.45	 	24649914		-65.63	 
24658247		-65.1	 	24658247		-65.69	 
24666580		-65.21	 	24666580		-65.36	 
24674913		-65.1	 	24674913		-65.69	 
24683246		-65.4	 	24683246		-65.28	 
24691579		-65.22	 	24691579		-65.11	 
24699912		-65.29	 	24699912		-65.65	 
24708245		-65.34	 	24708245		-65.36	 
24716578		-65.51	 	24716578		-65.65	 
24724911		-65.26	 	24724911		-65.57	 
24733244		-65.41	 	24733244		-65.61	 
24741577		-65.61	 	24741577		-65.61	 
24749910		-65.3	 	24749910		-65.27	 
24758243		-65.56	 	24758243		-65.42	 
24766576		-65.3	 	24766576		-65.24	 
24774909		-65.56	 	24774909		-66.02	 
24783242		-65.32	 	24783242		-65.64	 
24791575		-65.45	 	24791575		-65.67	 
24799908		-65.45	 	24799908		-65.51	 
24808241		-65.61	 	24808241		-65.72	 
24816574		-65.13	 	24816574		-65.38	 
24824907		-64.94	 	24824907		-65.32	 
24833240		-65.47	 	24833240		-65.6	 
24841573		-65.85	 	24841573		-65.22	 
24849906		-65.2	 	24849906		-65.17	 
24858239		-65.18	 	24858239		-65.27	 
24866572		-65.01	 	24866572		-65.26	 
24874905		-65.25	 	24874905		-65.85	 
24883238		-65.47	 	24883238		-65.64	 
24891571		-65.38	 	24891571		-65.23	 
24899904		-65.33	 	24899904		-65.46	 
24908237		-65.52	 	24908237		-65.55	 
24916570		-65.28	 	24916570		-65.26	 
24924903		-65.65	 	24924903		-65.56	 
24933236		-65.54	 	24933236		-65.72	 
24941569		-65.24	 	24941569		-65.58	 
24949902		-65.68	 	24949902		-65	 
24958235		-65.56	 	24958235		-65.43	 
24966568		-65.57	 	24966568		-65.57	 
24974901		-65.42	 	24974901		-65.47	 
24983234		-65.46	 	24983234		-64.71	 
24991567		-65.28	 	24991567		-65.35	 
24999900		-65.57	 	24999900		-65.52	 
25008233		-65.48	 	25008233		-65.25	 
25016566		-65.51	 	25016566		-65.32	 
25024899		-65.73	 	25024899		-65.83	 
25033232		-65.64	 	25033232		-65.3	 
25041565		-65.88	 	25041565		-65.29	 
25049898		-65.5	 	25049898		-65.32	 
25058231		-65.45	 	25058231		-65.02	 
25066564		-65.56	 	25066564		-65.48	 
25074897		-65.44	 	25074897		-65.82	 
25083230		-65.7	 	25083230		-65.31	 
25091563		-65.49	 	25091563		-65.77	 
25099896		-65.53	 	25099896		-65.19	 
25108229		-65.15	 	25108229		-65.12	 
25116562		-65.51	 	25116562		-65.25	 
25124895		-65.51	 	25124895		-65.28	 
25133228		-65.46	 	25133228		-65.28	 
25141561		-65.29	 	25141561		-65.45	 
25149894		-65.17	 	25149894		-65.43	 
25158227		-65.34	 	25158227		-65.62	 
25166560		-65.59	 	25166560		-65.6	 
25174893		-65.5	 	25174893		-65.22	 
25183226		-65.13	 	25183226		-65.3	 
25191559		-65.51	 	25191559		-65.83	 
25199892		-65.61	 	25199892		-65.55	 
25208225		-65.85	 	25208225		-65.44	 
25216558		-65.27	 	25216558		-65.79	 
25224891		-65.63	 	25224891		-65.79	 
25233224		-65.53	 	25233224		-65.22	 
25241557		-65.48	 	25241557		-65.24	 
25249890		-65.17	 	25249890		-65.69	 
25258223		-64.96	 	25258223		-65.72	 
25266556		-65.66	 	25266556		-65.26	 
25274889		-65.35	 	25274889		-65.33	 
25283222		-65.15	 	25283222		-65.6	 
25291555		-65.53	 	25291555		-65.73	 
25299888		-65.63	 	25299888		-65.87	 
25308221		-65.33	 	25308221		-65.4	 
25316554		-65.36	 	25316554		-65.65	 
25324887		-65.18	 	25324887		-65.31	 
25333220		-65.28	 	25333220		-65.26	 
25341553		-65.17	 	25341553		-65.56	 
25349886		-65.72	 	25349886		-65.89	 
25358219		-65.26	 	25358219		-65.52	 
25366552		-65.29	 	25366552		-65.72	 
25374885		-65.75	 	25374885		-65.48	 
25383218		-65.23	 	25383218		-65.27	 
25391551		-65.22	 	25391551		-65.6	 
25399884		-65.36	 	25399884		-65.39	 
25408217		-65.49	 	25408217		-65.03	 
25416550		-65.62	 	25416550		-65.56	 
25424883		-65.74	 	25424883		-65.24	 
25433216		-65.4	 	25433216		-65.66	 
25441549		-65.19	 	25441549		-65.02	 
25449882		-65.48	 	25449882		-65.03	 
25458215		-65.46	 	25458215		-65.13	 
25466548		-65.41	 	25466548		-65.28	 
25474881		-65.38	 	25474881		-65.59	 
25483214		-65.09	 	25483214		-65.23	 
25491547		-65.5	 	25491547		-65.62	 
25499880		-65.21	 	25499880		-65.53	 
25508213		-65.42	 	25508213		-65.68	 
25516546		-65.17	 	25516546		-65.35	 
25524879		-65.45	 	25524879		-65.39	 
25533212		-65.39	 	25533212		-65.08	 
25541545		-65.17	 	25541545		-65.9	 
25549878		-65.58	 	25549878		-65.65	 
25558211		-65.21	 	25558211		-65.58	 
25566544		-65.51	 	25566544		-65.53	 
25574877		-65.18	 	25574877		-65.72	 
25583210		-65.18	 	25583210		-65.39	 
25591543		-65.65	 	25591543		-65.38	 
25599876		-65.52	 	25599876		-65.84	 
25608209		-65.31	 	25608209		-65.72	 
25616542		-65.47	 	25616542		-65.65	 
25624875		-65.21	 	25624875		-65.51	 
25633208		-65.21	 	25633208		-65.63	 
25641541		-65.79	 	25641541		-65.11	 
25649874		-65.18	 	25649874		-65.21	 
25658207		-65.44	 	25658207		-65.36	 
25666540		-65.56	 	25666540		-65.38	 
25674873		-65.57	 	25674873		-65.34	 
25683206		-65.39	 	25683206		-65.24	 
25691539		-65.55	 	25691539		-65.62	 
25699872		-65.21	 	25699872		-65.68	 
25708205		-65.33	 	25708205		-65.53	 
25716538		-65.36	 	25716538		-65.65	 
25724871		-65.45	 	25724871		-65.17	 
25733204		-64.95	 	25733204		-65.45	 
25741537		-64.8	 	25741537		-65.58	 
25749870		-64.28	 	25749870		-65.32	 
25758203		-64.37	 	25758203		-65.09	 
25766536		-63.87	 	25766536		-65.23	 
25774869		-63.52	 	25774869		-64.56	 
25783202		-63.04	 	25783202		-65.23	 
25791535		-63.24	 	25791535		-64.91	 
25799868		-62.67	 	25799868		-65.13	 
25808201		-62.18	 	25808201		-65.27	 
25816534		-61.95	 	25816534		-65.05	 
25824867		-61.6	 	25824867		-65.36	 
25833200		-61.92	 	25833200		-65.1	 
25841533		-62.19	 	25841533		-65.43	 
25849866		-62	 	25849866		-65.51	 
25858199		-62.48	 	25858199		-65.06	 
25866532		-63.09	 	25866532		-65.32	 
25874865		-62.81	 	25874865		-65.29	 
25883198		-63.15	 	25883198		-65.17	 
25891531		-63.32	 	25891531		-65.22	 
25899864		-63.42	 	25899864		-65.05	 
25908197		-63.7	 	25908197		-65.19	 
25916530		-63.42	 	25916530		-64.98	 
25924863		-63.71	 	25924863		-64.69	 
25933196		-63.12	 	25933196		-64.75	 
25941529		-63.05	 	25941529		-64.43	 
25949862		-62.81	 	25949862		-64.53	 
25958195		-62.09	 	25958195		-64.56	 
25966528		-62.53	 	25966528		-64.3	 
25974861		-62.18	 	25974861		-64	 
25983194		-62.71	 	25983194		-63.91	 
25991527		-62.22	 	25991527		-63.56	 
25999860		-62.25	 	25999860		-64.45	 
26008193		-62.69	 	26008193		-64.63	 
26016526		-62.55	 	26016526		-64.16	 
26024859		-63.24	 	26024859		-63.91	 
26033192		-63.3	 	26033192		-64.19	 
26041525		-63.88	 	26041525		-64.39	 
26049858		-64.2	 	26049858		-64.41	 
26058191		-64.11	 	26058191		-64.64	 
26066524		-64.62	 	26066524		-64.71	 
26074857		-64.59	 	26074857		-64.82	 
26083190		-65.19	 	26083190		-65.12	 
26091523		-64.98	 	26091523		-65.59	 
26099856		-65.3	 	26099856		-65.52	 
26108189		-65.08	 	26108189		-65.01	 
26116522		-65.26	 	26116522		-65.45	 
26124855		-65.53	 	26124855		-65.13	 
26133188		-65.66	 	26133188		-65.99	 
26141521		-65.07	 	26141521		-65.39	 
26149854		-65.39	 	26149854		-64.74	 
26158187		-65.34	 	26158187		-65.55	 
26166520		-65.68	 	26166520		-65.6	 
26174853		-65.51	 	26174853		-65.75	 
26183186		-65.6	 	26183186		-65.84	 
26191519		-65.44	 	26191519		-65.38	 
26199852		-65.28	 	26199852		-65.71	 
26208185		-65.25	 	26208185		-65.79	 
26216518		-65.52	 	26216518		-65.05	 
26224851		-65.41	 	26224851		-65.08	 
26233184		-65.53	 	26233184		-65.39	 
26241517		-65.23	 	26241517		-65.76	 
26249850		-65.39	 	26249850		-65.3	 
26258183		-65.65	 	26258183		-65.62	 
26266516		-65.62	 	26266516		-65.46	 
26274849		-65.51	 	26274849		-65.23	 
26283182		-65.51	 	26283182		-64.98	 
26291515		-65.54	 	26291515		-65.54	 
26299848		-65.23	 	26299848		-65.49	 
26308181		-65.67	 	26308181		-65.45	 
26316514		-65.1	 	26316514		-65.87	 
26324847		-65.59	 	26324847		-65.08	 
26333180		-65.86	 	26333180		-65.66	 
26341513		-65.31	 	26341513		-66.07	 
26349846		-65.34	 	26349846		-65.77	 
26358179		-65.32	 	26358179		-65.56	 
26366512		-65.51	 	26366512		-65.85	 
26374845		-65.23	 	26374845		-65.26	 
26383178		-65.57	 	26383178		-65.54	 
26391511		-65.63	 	26391511		-65.58	 
26399844		-65.57	 	26399844		-65.63	 
26408177		-65.16	 	26408177		-65.6	 
26416510		-65.49	 	26416510		-65.7	 
26424843		-65.52	 	26424843		-65.8	 
26433176		-65.35	 	26433176		-65.38	 
26441509		-64.99	 	26441509		-65.94	 
26449842		-65.37	 	26449842		-65.64	 
26458175		-65.45	 	26458175		-65.47	 
26466508		-65.49	 	26466508		-65.49	 
26474841		-65.55	 	26474841		-65.54	 
26483174		-65.61	 	26483174		-65.58	 
26491507		-65.26	 	26491507		-65.08	 
26499840		-65.39	 	26499840		-65.88	 
26508173		-65.57	 	26508173		-65.13	 
26516506		-65.27	 	26516506		-64.91	 
26524839		-65.54	 	26524839		-65.2	 
26533172		-65.1	 	26533172		-65.73	 
26541505		-65	 	26541505		-65.88	 
26549838		-65.53	 	26549838		-65.28	 
26558171		-65.72	 	26558171		-65.48	 
26566504		-65.41	 	26566504		-65.91	 
26574837		-65.41	 	26574837		-64.91	 
26583170		-65.39	 	26583170		-65.09	 
26591503		-65.42	 	26591503		-65.47	 
26599836		-65.29	 	26599836		-65.6	 
26608169		-65.63	 	26608169		-65.4	 
26616502		-65.14	 	26616502		-65.59	 
26624835		-65.39	 	26624835		-65.87	 
26633168		-65.43	 	26633168		-66.02	 
26641501		-65.68	 	26641501		-65.26	 
