Virgo A Observation:
Column 1: Frequency (Hz) - Trace 1 (on target)
Column 2: Amplitude (dBm) - Trace 1 (on target)
Column 3: Frequency (Hz) - Trace 2 (off target)
Column 4: Amplitude (dBm) - Trace 2 (off target)
Trace1				Trace2			
Freq		Amp		Freq		Amp	
21946287		-85.26	 	21946287		-85.83	 
21946620		-85.35	 	21946620		-85.5	 
21946953		-85.18	 	21946953		-85.07	 
21947286		-85.23	 	21947286		-85.13	 
21947619		-85.26	 	21947619		-85.41	 
21947952		-85.5	 	21947952		-85.73	 
21948285		-85.66	 	21948285		-86	 
21948618		-85.59	 	21948618		-86.23	 
21948951		-85.15	 	21948951		-86.03	 
21949284		-85.12	 	21949284		-85.44	 
21949617		-85.21	 	21949617		-85.19	 
21949950		-84.93	 	21949950		-85.5	 
21950283		-84.6	 	21950283		-85.87	 
21950616		-84.91	 	21950616		-86.21	 
21950949		-85.41	 	21950949		-86.04	 
21951282		-85.54	 	21951282		-85.8	 
21951615		-85.34	 	21951615		-85.71	 
21951948		-84.74	 	21951948		-86.02	 
21952281		-84.19	 	21952281		-86.16	 
21952614		-84.25	 	21952614		-85.86	 
21952947		-84.61	 	21952947		-85.44	 
21953280		-84.75	 	21953280		-85.72	 
21953613		-84.91	 	21953613		-85.94	 
21953946		-84.89	 	21953946		-85.89	 
21954279		-85.01	 	21954279		-85.61	 
21954612		-84.88	 	21954612		-85.5	 
21954945		-84.85	 	21954945		-85.54	 
21955278		-84.82	 	21955278		-85.58	 
21955611		-84.71	 	21955611		-85.63	 
21955944		-84.61	 	21955944		-85.6	 
21956277		-84.79	 	21956277		-85.24	 
21956610		-85.05	 	21956610		-84.9	 
21956943		-85.28	 	21956943		-84.8	 
21957276		-85.54	 	21957276		-84.83	 
21957609		-85.68	 	21957609		-84.78	 
21957942		-85.69	 	21957942		-84.62	 
21958275		-85.71	 	21958275		-84.59	 
21958608		-85.52	 	21958608		-84.63	 
21958941		-84.93	 	21958941		-84.69	 
21959274		-84.7	 	21959274		-84.87	 
21959607		-84.63	 	21959607		-85.22	 
21959940		-84.88	 	21959940		-85.42	 
21960273		-85.53	 	21960273		-85.62	 
21960606		-85.91	 	21960606		-85.71	 
21960939		-85.89	 	21960939		-85.71	 
21961272		-85.49	 	21961272		-85.87	 
21961605		-85.15	 	21961605		-85.34	 
21961938		-84.95	 	21961938		-84.9	 
21962271		-85.32	 	21962271		-85.14	 
21962604		-85.26	 	21962604		-85.52	 
21962937		-84.62	 	21962937		-85.51	 
21963270		-84.91	 	21963270		-85.26	 
21963603		-85.66	 	21963603		-85.02	 
21963936		-86.1	 	21963936		-84.73	 
21964269		-85.67	 	21964269		-84.97	 
21964602		-85.19	 	21964602		-85.21	 
21964935		-85.31	 	21964935		-85.28	 
21965268		-85.31	 	21965268		-85.28	 
21965601		-84.94	 	21965601		-85.51	 
21965934		-84.45	 	21965934		-85.72	 
21966267		-84.41	 	21966267		-85.61	 
21966600		-84.5	 	21966600		-85.52	 
21966933		-84.26	 	21966933		-85.48	 
21967266		-84.3	 	21967266		-85.49	 
21967599		-84.78	 	21967599		-85.35	 
21967932		-85.25	 	21967932		-85.19	 
21968265		-85.32	 	21968265		-85.23	 
21968598		-85.39	 	21968598		-85.09	 
21968931		-85.87	 	21968931		-85.21	 
21969264		-86.24	 	21969264		-85.36	 
21969597		-85.92	 	21969597		-85.34	 
21969930		-84.93	 	21969930		-85.19	 
21970263		-84.59	 	21970263		-85.41	 
21970596		-84.74	 	21970596		-85.5	 
21970929		-84.8	 	21970929		-85.42	 
21971262		-84.93	 	21971262		-85.38	 
21971595		-85.06	 	21971595		-85.1	 
21971928		-85.3	 	21971928		-84.77	 
21972261		-85.93	 	21972261		-84.57	 
21972594		-85.86	 	21972594		-84.68	 
21972927		-85.48	 	21972927		-85.22	 
21973260		-85.28	 	21973260		-85.9	 
21973593		-85.25	 	21973593		-86.19	 
21973926		-85.16	 	21973926		-86.24	 
21974259		-85.15	 	21974259		-86.17	 
21974592		-85.4	 	21974592		-85.79	 
21974925		-85.62	 	21974925		-85.51	 
21975258		-85.28	 	21975258		-85.61	 
21975591		-85.03	 	21975591		-85.75	 
21975924		-85.04	 	21975924		-85.73	 
21976257		-85.08	 	21976257		-85.74	 
21976590		-84.92	 	21976590		-85.85	 
21976923		-84.98	 	21976923		-85.71	 
21977256		-85.26	 	21977256		-85.78	 
21977589		-85.16	 	21977589		-85.75	 
21977922		-84.83	 	21977922		-85.82	 
21978255		-84.76	 	21978255		-85.97	 
21978588		-84.79	 	21978588		-86.04	 
21978921		-84.83	 	21978921		-85.87	 
21979254		-85.07	 	21979254		-85.63	 
21979587		-85.36	 	21979587		-85.24	 
21979920		-85.5	 	21979920		-85.07	 
21980253		-85.55	 	21980253		-85.25	 
21980586		-85.49	 	21980586		-85.32	 
21980919		-85.61	 	21980919		-85.22	 
21981252		-85.41	 	21981252		-85.23	 
21981585		-85.22	 	21981585		-85.2	 
21981918		-84.97	 	21981918		-85.13	 
21982251		-85.07	 	21982251		-85.35	 
21982584		-85.37	 	21982584		-85.47	 
21982917		-85.56	 	21982917		-85.27	 
21983250		-85.44	 	21983250		-85.1	 
21983583		-85.05	 	21983583		-84.87	 
21983916		-84.63	 	21983916		-84.83	 
21984249		-84.56	 	21984249		-85.22	 
21984582		-84.73	 	21984582		-85.45	 
21984915		-84.66	 	21984915		-85.23	 
21985248		-84.91	 	21985248		-84.95	 
21985581		-85.24	 	21985581		-84.75	 
21985914		-85.41	 	21985914		-84.88	 
21986247		-84.94	 	21986247		-84.79	 
21986580		-82.71	 	21986580		-83	 
21986913		-77.8	 	21986913		-78.56	 
21987246		-73.13	 	21987246		-73.86	 
21987579		-70.2	 	21987579		-70.73	 
21987912		-68.65	 	21987912		-68.86	 
21988245		-69.03	 	21988245		-68.85	 
21988578		-70.96	 	21988578		-70.36	 
21988911		-74.66	 	21988911		-73.87	 
21989244		-79.34	 	21989244		-79.07	 
21989577		-82.61	 	21989577		-83.17	 
21989910		-84.35	 	21989910		-85.08	 
21990243		-84.65	 	21990243		-85.42	 
21990576		-84.58	 	21990576		-85.91	 
21990909		-84.61	 	21990909		-86.18	 
21991242		-85.18	 	21991242		-86.19	 
21991575		-85.96	 	21991575		-85.88	 
21991908		-86.3	 	21991908		-85.71	 
21992241		-85.71	 	21992241		-85.78	 
21992574		-84.77	 	21992574		-85.81	 
21992907		-84.38	 	21992907		-85.57	 
21993240		-84.95	 	21993240		-85.31	 
21993573		-85.66	 	21993573		-85.19	 
21993906		-85.65	 	21993906		-85.23	 
21994239		-85.52	 	21994239		-85.16	 
21994572		-85.65	 	21994572		-85.03	 
21994905		-85.55	 	21994905		-85.05	 
21995238		-85.38	 	21995238		-84.92	 
21995571		-85.17	 	21995571		-84.6	 
21995904		-85.06	 	21995904		-84.61	 
21996237		-85.18	 	21996237		-85.07	 
21996570		-85.37	 	21996570		-85.52	 
21996903		-85.21	 	21996903		-85.74	 
21997236		-84.92	 	21997236		-85.64	 
21997569		-84.78	 	21997569		-85.36	 
21997902		-84.72	 	21997902		-85.13	 
21998235		-85.13	 	21998235		-85.21	 
21998568		-85.62	 	21998568		-85.33	 
21998901		-85	 	21998901		-85.19	 
21999234		-84.15	 	21999234		-84.97	 
21999567		-83.95	 	21999567		-84.84	 
21999900		-84.15	 	21999900		-84.83	 
22000233		-84.66	 	22000233		-85.27	 
22000566		-85.25	 	22000566		-85.36	 
22000899		-85.63	 	22000899		-85.39	 
22001232		-85.76	 	22001232		-85.22	 
22001565		-85.68	 	22001565		-85.11	 
22001898		-85.19	 	22001898		-84.97	 
22002231		-84.69	 	22002231		-85.1	 
22002564		-84.43	 	22002564		-85.35	 
22002897		-84.7	 	22002897		-85.48	 
22003230		-85.24	 	22003230		-85.37	 
22003563		-85.33	 	22003563		-85.3	 
22003896		-85.24	 	22003896		-85.44	 
22004229		-85.12	 	22004229		-85.85	 
22004562		-84.79	 	22004562		-86.1	 
22004895		-84.29	 	22004895		-85.92	 
22005228		-84.42	 	22005228		-85.67	 
22005561		-84.83	 	22005561		-85.6	 
22005894		-84.88	 	22005894		-85.74	 
22006227		-84.86	 	22006227		-85.6	 
22006560		-85.11	 	22006560		-85.57	 
22006893		-85.53	 	22006893		-85.61	 
22007226		-85.58	 	22007226		-85.41	 
22007559		-85.31	 	22007559		-85.4	 
22007892		-84.89	 	22007892		-85.53	 
22008225		-84.82	 	22008225		-85.46	 
22008558		-85	 	22008558		-85.44	 
22008891		-84.87	 	22008891		-85.42	 
22009224		-84.77	 	22009224		-85.14	 
22009557		-84.75	 	22009557		-84.82	 
22009890		-85.06	 	22009890		-84.54	 
22010223		-85.09	 	22010223		-84.46	 
22010556		-84.41	 	22010556		-84.04	 
22010889		-83.9	 	22010889		-83.19	 
22011222		-84.66	 	22011222		-82.9	 
22011555		-85.49	 	22011555		-83.26	 
22011888		-85.61	 	22011888		-84.02	 
22012221		-85.48	 	22012221		-84.94	 
22012554		-85.22	 	22012554		-85.24	 
22012887		-85.03	 	22012887		-85.13	 
22013220		-84.86	 	22013220		-85.01	 
22013553		-85.01	 	22013553		-85.31	 
22013886		-85.12	 	22013886		-85.48	 
22014219		-85.5	 	22014219		-85.63	 
22014552		-85.55	 	22014552		-85.65	 
22014885		-85.4	 	22014885		-85.64	 
22015218		-85.27	 	22015218		-85.87	 
22015551		-85.04	 	22015551		-86.05	 
22015884		-84.69	 	22015884		-85.82	 
22016217		-84.34	 	22016217		-85.57	 
22016550		-84.18	 	22016550		-85.38	 
22016883		-84.41	 	22016883		-84.88	 
22017216		-84.87	 	22017216		-83.41	 
22017549		-84.7	 	22017549		-81.47	 
22017882		-83.85	 	22017882		-79.67	 
22018215		-83.38	 	22018215		-78.99	 
22018548		-83.5	 	22018548		-79.61	 
22018881		-84.11	 	22018881		-81.56	 
22019214		-84.37	 	22019214		-84	 
22019547		-84.17	 	22019547		-85.26	 
22019880		-84.3	 	22019880		-85.6	 
22020213		-84.85	 	22020213		-85.52	 
22020546		-85.2	 	22020546		-85.22	 
22020879		-85.2	 	22020879		-85.26	 
22021212		-85.53	 	22021212		-85.62	 
22021545		-85.93	 	22021545		-85.58	 
22021878		-85.96	 	22021878		-85.38	 
22022211		-85.71	 	22022211		-85.5	 
22022544		-85.45	 	22022544		-85.56	 
22022877		-85.03	 	22022877		-85.65	 
22023210		-85.13	 	22023210		-85.92	 
22023543		-85.51	 	22023543		-85.99	 
22023876		-86.02	 	22023876		-85.52	 
22024209		-85.78	 	22024209		-84.9	 
22024542		-85.26	 	22024542		-84.56	 
22024875		-84.88	 	22024875		-84.61	 
22025208		-85.19	 	22025208		-84.97	 
22025541		-85.67	 	22025541		-85.19	 
22025874		-85.72	 	22025874		-85.18	 
22026207		-85.58	 	22026207		-85.4	 
22026540		-85.61	 	22026540		-85.53	 
22026873		-85.79	 	22026873		-85.2	 
22027206		-85.6	 	22027206		-84.86	 
22027539		-85.4	 	22027539		-84.96	 
22027872		-85.06	 	22027872		-85.48	 
22028205		-85.12	 	22028205		-85.93	 
22028538		-85.22	 	22028538		-85.87	 
22028871		-85.3	 	22028871		-85.23	 
22029204		-85.38	 	22029204		-84.96	 
22029537		-85.54	 	22029537		-84.97	 
22029870		-85.98	 	22029870		-85.09	 
22030203		-86.06	 	22030203		-85.35	 
22030536		-85.68	 	22030536		-85.64	 
22030869		-85.37	 	22030869		-85.72	 
22031202		-85.31	 	22031202		-85.56	 
22031535		-85.02	 	22031535		-84.93	 
22031868		-84.91	 	22031868		-84.38	 
22032201		-85.32	 	22032201		-84.53	 
22032534		-85.55	 	22032534		-84.99	 
22032867		-85.45	 	22032867		-85.23	 
22033200		-85.39	 	22033200		-85.46	 
22033533		-85.49	 	22033533		-85.54	 
22033866		-85.47	 	22033866		-85.35	 
22034199		-85.19	 	22034199		-85.34	 
22034532		-84.7	 	22034532		-85.4	 
22034865		-84.28	 	22034865		-85.3	 
22035198		-84.26	 	22035198		-85.34	 
22035531		-84.2	 	22035531		-85.29	 
22035864		-84.32	 	22035864		-84.98	 
22036197		-84.51	 	22036197		-84.72	 
22036530		-84.76	 	22036530		-84.96	 
22036863		-85.22	 	22036863		-85.51	 
22037196		-85.61	 	22037196		-85.87	 
22037529		-85.68	 	22037529		-85.74	 
22037862		-85.34	 	22037862		-85.62	 
22038195		-84.9	 	22038195		-85.61	 
22038528		-84.83	 	22038528		-85.87	 
22038861		-85.16	 	22038861		-85.81	 
22039194		-85.48	 	22039194		-85.06	 
22039527		-85.12	 	22039527		-84.46	 
22039860		-84.83	 	22039860		-84.45	 
22040193		-85.14	 	22040193		-85.03	 
22040526		-85.6	 	22040526		-85.41	 
22040859		-85.51	 	22040859		-85.4	 
22041192		-85.1	 	22041192		-85.47	 
22041525		-85	 	22041525		-85.9	 
22041858		-85.15	 	22041858		-86.23	 
22042191		-85.49	 	22042191		-86.06	 
22042524		-85.41	 	22042524		-85.8	 
22042857		-85.07	 	22042857		-85.6	 
22043190		-84.83	 	22043190		-85.54	 
22043523		-85.1	 	22043523		-85.43	 
22043856		-85.69	 	22043856		-84.79	 
22044189		-85.91	 	22044189		-84.32	 
22044522		-85.55	 	22044522		-84.32	 
22044855		-84.99	 	22044855		-84.38	 
22045188		-85.04	 	22045188		-84.58	 
22045521		-85.38	 	22045521		-85.09	 
22045854		-85.64	 	22045854		-85.61	 
22046187		-85.46	 	22046187		-85.61	 
22046520		-85.4	 	22046520		-85.28	 
22046853		-85.36	 	22046853		-85.01	 
22047186		-85.29	 	22047186		-84.82	 
22047519		-84.77	 	22047519		-84.57	 
22047852		-84.19	 	22047852		-84.59	 
22048185		-83.94	 	22048185		-84.87	 
22048518		-84.19	 	22048518		-85	 
22048851		-84.52	 	22048851		-84.93	 
22049184		-84.77	 	22049184		-84.92	 
22049517		-84.75	 	22049517		-84.93	 
22049850		-84.4	 	22049850		-85.09	 
22050183		-84.51	 	22050183		-85.43	 
22050516		-84.81	 	22050516		-85.65	 
22050849		-85.09	 	22050849		-85.75	 
22051182		-85.02	 	22051182		-85.39	 
22051515		-84.8	 	22051515		-84.87	 
22051848		-84.85	 	22051848		-84.54	 
22052181		-84.68	 	22052181		-84.74	 
22052514		-84.24	 	22052514		-84.95	 
22052847		-84.1	 	22052847		-85.32	 
22053180		-84.67	 	22053180		-85.78	 
22053513		-85.27	 	22053513		-85.84	 
22053846		-85.71	 	22053846		-85.89	 
22054179		-85.66	 	22054179		-86.04	 
22054512		-85.4	 	22054512		-85.78	 
22054845		-85.07	 	22054845		-85.35	 
22055178		-84.87	 	22055178		-85.22	 
22055511		-84.71	 	22055511		-85.39	 
22055844		-84.91	 	22055844		-85.39	 
22056177		-85.32	 	22056177		-85.15	 
22056510		-85.26	 	22056510		-85.26	 
22056843		-84.82	 	22056843		-85.76	 
22057176		-84.79	 	22057176		-85.67	 
22057509		-85.01	 	22057509		-85.27	 
22057842		-85.26	 	22057842		-85.14	 
22058175		-85.55	 	22058175		-85.59	 
22058508		-85.82	 	22058508		-85.87	 
22058841		-85.9	 	22058841		-85.98	 
22059174		-85.53	 	22059174		-86.05	 
22059507		-85.06	 	22059507		-85.83	 
